----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Layer (type)                                             Input Shape                                                                                    Output Shape                                               Param #    
   HSBlock-15                                          [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
SyncBatchNorm-50                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
HSBlockBNReLU-15                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-96                                           [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                             2,624     
SyncBatchNorm-51                                       [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
   ConvBN-21                                           [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
   Conv2D-97                                          [[1, 256, 128, 128]]                                                                              [1, 64, 128, 128]                                            16,448     
SyncBatchNorm-52                                       [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
   ConvBN-22                                          [[1, 256, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
HSBottleNeck-15                                       [[1, 256, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
   Conv2D-98                                           [[1, 64, 128, 128]]                                                                              [1, 40, 128, 128]                                             2,600     
SyncBatchNorm-53                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
 ConvBNReLU-16                                         [[1, 64, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-99                                           [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               584      
   Conv2D-100                                          [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,308     
   Conv2D-101                                          [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,778     
   Conv2D-102                                          [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,040     
   HSBlock-16                                          [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
SyncBatchNorm-54                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
HSBlockBNReLU-16                                       [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
   Conv2D-103                                          [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                             2,624     
SyncBatchNorm-55                                       [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
   ConvBN-23                                           [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
HSBottleNeck-16                                        [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
  UpSampling-3                               [[1, 128, 64, 64], [1, 128, 128, 128]]                                                                     [1, 64, 128, 128]                                               0       
   Conv2D-104                                         [[1, 128, 256, 256]]                                                                              [1, 40, 256, 256]                                             5,160     
SyncBatchNorm-56                                       [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
 ConvBNReLU-17                                        [[1, 128, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
   Conv2D-105                                          [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               584      
   Conv2D-106                                          [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,308     
   Conv2D-107                                          [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,778     
   Conv2D-108                                          [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,040     
   HSBlock-17                                          [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
SyncBatchNorm-57                                       [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
HSBlockBNReLU-17                                       [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
   Conv2D-109                                          [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,624     
SyncBatchNorm-58                                       [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
   ConvBN-24                                           [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
   Conv2D-110                                         [[1, 128, 256, 256]]                                                                              [1, 64, 256, 256]                                             8,256     
SyncBatchNorm-59                                       [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
